energy,events
1.0102725326338757, 0.14664849929689183
1.0988433816614802, 0.15714901779142648
1.178555863274945, 0.1684014082054333
1.2640508611514372, 0.17736636058799882
1.3557478515593564, 0.19006637973986246
1.454096740485196, 0.20367576234668472
1.5815777703190745, 0.21825962184517128
1.6963088512363569, 0.22987880684920517
1.7940577927415602, 0.2421165463023695
1.8974394676717077, 0.2550057693306243
2.0350838410224843, 0.26858115806217014
2.182713235681149, 0.28781245896901253
2.3410519867446737, 0.3084207847469885
2.5822077750311134, 0.3362685085855947
2.8085905852258293, 0.366630640535923
3.141603972091829, 0.40670529759349094
3.514102614094453, 0.45116032541312645
3.8760963634087475, 0.5004745215547343
4.396837775980985, 0.5551790186694298
4.98753916718731, 0.637530755502413
5.65759944115233, 0.7195495807454506
6.417680215347187, 0.8121201913512928
7.4866874057260855, 0.9325849532135123
8.612286173185602, 1.0895947745619952
9.76931986038656, 1.2297719858246903
11.557365066503456, 1.4368161581849304
13.110060883655779, 1.6216636692539028
14.664515206707138, 1.7989200363515125
16.40328051533643, 1.9955514565334025
17.841360276144723, 2.175732457994956
20.523749969785477, 2.4984668207401524
23.609428109889045, 2.9700154339376326
26.781280868769986, 3.654776719421576
30.37926211654075, 4.0542630346916475
34.46062088171797, 4.420327849200771
39.64166161285416, 4.989006449019567
46.89713937613085, 5.930607535229528
56.26310943610412, 7.172867636850875
71.38921537519558, 9.137175873477966
83.280674904309, 10.86168250927297
97.15292115294785, 12.690353264091005
116.55562594181562, 15.08546951418214
135.97055439414805, 18.245361107138194
158.61947042763214, 22.4519779425526
187.65104967246464, 27.154901923752455
209.90075453479233, 31.182887963840674
244.86438755082497, 37.71463995395251
302.1125420471429, 48.88072577359173
362.44835487491036, 60.15057583350744
440.9673002938141, 74.01878175583958
514.4201989921266, 87.98873068523679
661.9264977739563, 104.59530059731546
805.3228461115748, 116.02811700115869
926.4004808338257, 114.03934973375591
1065.681738737411, 106.41937018941464
1192.0391676218544, 92.67286479789963
1278.512273632572, 80.70203624174478
1371.2583262596793, 69.07293101051903
1450.2763953008107, 56.131382822483005
1555.482589763266, 43.30899060445492
1599.6718591018152, 36.43283291680351
1668.3206696988154, 27.154901923752455
1715.7155244542191, 21.688902824778282
1789.3442686284955, 15.08546951418214
1840.1772489178136, 11.051102728642828
1892.4543291103223, 7.820515418584406
1973.6676967540502, 5.254599271124776
2029.7370697001907, 3.410568699065914
2058.366279857188, 2.3315221116489138
2116.841831134073, 1.3408097379456914
2146.6996440288344, 0.7710717150773934
2207.684633114051, 0.3997342098585658
2207.684633114051, 0.27803058021487187
2238.8237733826677, 0.1626779514690819
2270.4021276776516, 0.10199969465105653
2302.4258910628214, 0.05765247771324677
2334.901345982653, 0.03432121212165159
2401.2329045199112, 0.019399106278742563
2401.2329045199112, 0.012163313461143514
2401.2329045199112, 0.009548446772875757
