Halflife,Counts,Sigma,68_Low,68_High
4.373398410169779838e+28,2.000000000000000000e+00,6.845377496738326295e-01,-6.491835034703208329e-01,1.782645001956742803e+00
2.186699205084889919e+28,4.000000000000000000e+00,1.249465151271125896e+00,-1.294073490410019012e-01,2.356561127826683588e+00
1.457799470056593353e+28,6.000000000000000000e+00,1.736359285741096103e+00,5.252010512254257080e-01,2.906338332451878781e+00
1.093349602542444960e+28,8.000000000000000000e+00,2.202537515677446489e+00,9.571721042320339157e-01,3.404416085874522491e+00
8.746796820339559896e+27,1.000000000000000000e+01,2.626778710562351016e+00,1.393417072568678083e+00,3.772650313158779412e+00
7.288997350282966763e+27,1.200000000000000000e+01,3.036802248229464762e+00,1.804788357223521045e+00,4.194392934227609615e+00
6.247712014528257226e+27,1.400000000000000000e+01,3.371305479169126595e+00,2.177062777368787838e+00,4.608225583888303944e+00
5.466748012712224798e+27,1.600000000000000000e+01,3.757620142820151443e+00,2.551388568991569628e+00,4.984058346114609073e+00
4.859331566855310809e+27,1.800000000000000000e+01,4.164544620245766993e+00,2.946413777867390227e+00,5.412637730539679559e+00
4.373398410169779948e+27,2.000000000000000000e+01,4.482319048970865083e+00,3.205943109364607135e+00,5.716363148672501282e+00
3.975816736517981621e+27,2.200000000000000000e+01,4.795329613217067966e+00,3.501331318736347509e+00,6.028916902593731919e+00
3.644498675141483382e+27,2.400000000000000000e+01,5.132910161052941511e+00,3.840477287840530440e+00,6.371856726180378239e+00
3.364152623207523164e+27,2.600000000000000000e+01,5.453158251387455024e+00,4.167712195103738360e+00,6.679124590850796572e+00
3.123856007264128613e+27,2.800000000000000000e+01,5.763709778745763401e+00,4.474890784776632380e+00,7.001512360396164425e+00
2.915598940113186815e+27,3.000000000000000000e+01,6.059795402916273055e+00,4.783437181029530194e+00,7.332930744455410377e+00
2.733374006356112399e+27,3.200000000000000000e+01,6.376062248033166568e+00,5.084454125901067378e+00,7.661005133623467245e+00
2.572587300099870655e+27,3.400000000000000000e+01,6.642330529143364970e+00,5.358552034449664880e+00,7.903208531727537789e+00
2.429665783427655405e+27,3.600000000000000000e+01,6.956620404138776692e+00,5.660796849407645936e+00,8.211162319556700950e+00
2.301788636931463073e+27,3.800000000000000000e+01,7.212248633684502863e+00,5.882817971409898483e+00,8.476262100784692777e+00
2.186699205084889974e+27,4.000000000000000000e+01,7.465224186401999695e+00,6.198613372063526583e+00,8.727992766102149247e+00
